中央台,#genre#
CCTV1,http://183.128.138.227:4022/udp/233.50.200.143:5140
CCTV1,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000018602/1.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV2,http://58.209.75.33:7766/rtp/239.49.8.130:6000
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000012442/1.m3u8
CCTV2,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000001000023315
CCTV3,http://124.230.56.208:55555/udp/239.76.253.153:9000
CCTV3,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000022313
CCTV3,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000005000265003
CCTV4,http://223.12.113.32:8083/udp/239.1.1.10:8010
CCTV4,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV4,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000031664/1.m3u8
CCTV5,http://124.230.56.208:55555/udp/239.76.253.155:9000
CCTV5,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000005000025222
CCTV5,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000015875
CCTV6,http://113.26.166.143:8082/udp/239.1.1.13:8013
CCTV6,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000001000001737
CCTV6,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000004574
CCTV7,http://222.95.209.142:8554/rtp/239.49.8.132:6000
CCTV7,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000001000024341
CCTV7,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000009055
CCTV8,http://124.230.56.208:55555/udp/239.76.253.158:9000
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8
CCTV8,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000001070
CCTV9,http://183.128.138.227:4022/udp/233.50.201.121:5140
CCTV9,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000014583/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=3
CCTV9,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000001000014583
CCTV10,http://113.26.166.143:8082/udp/239.1.1.17:8017
CCTV10,http://cn.samzhao.cloud:3001/itv/bestzb/5000000004000012827
CCTV10,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000005000265010
CCTV11,http://111.199.232.88:18888/rtp/239.3.1.152:8120
CCTV11,http://cn.samzhao.cloud:3001/itv/bestzb/5000000011000031106
CCTV11,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000005000265011
CCTV12,http://115.58.217.95:4000/rtp/225.1.4.79:1108
CCTV12,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000001000032494
CCTV12,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000022586
CCTV13,http://111.199.232.88:18888/rtp/239.3.1.124:8128
CCTV13,http://cn.samzhao.cloud:3001/itv/bestzb/5000000011000031108
CCTV13,http://115.58.217.95:4000/rtp/225.1.4.113:1293
CCTV14,http://223.12.113.32:8083/udp/239.1.1.21:8021
CCTV14,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000001000008170
CCTV14,http://cn.samzhao.cloud:3001/itv/bestzb/5000000004000006673
CCTV15,http://124.230.56.208:55555/udp/239.76.245.252:1234
CCTV15,http://cn.samzhao.cloud:3001/itv/bestzb/5000000011000031109
CCTV15,http://vod.cctv.cn/cms/2018-08-10/CCTV15_2m_20180810124638599-16050_video_1-001.mp4
地方台,#genre#
北京卫视,http://183.128.138.227:4022/udp/233.50.200.179:5140
北京卫视,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000020451
北京卫视,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000005000265027
天津卫视,http://183.128.138.227:4022/udp/233.50.201.104:5140
天津卫视,http://cn.samzhao.cloud:3001/itv/bestzb/5000000004000006827
天津卫视,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000009186
河北卫视,http://60.220.163.57:8000/rtp/226.0.2.178:9336
河北卫视,http://cn.samzhao.cloud:3001/itv/bestzb/5000000006000040016
河北卫视,http://125.210.152.18:9090/live/HBWSHD_H265.m3u8
黑龙江卫视,http://124.230.56.208:55555/udp/239.76.246.200:1234
黑龙江卫视,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000001000001925
黑龙江卫视,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000016510
辽宁卫视,http://183.188.28.38:6001/rtp/226.0.2.173:9296
辽宁卫视,http://cn.samzhao.cloud:3001/itv/bestzb/5000000004000011671
辽宁卫视,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000005000265022
东方卫视,http://111.199.232.88:18888/rtp/239.3.1.136:8032
东方卫视,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000003639
东方卫视,http://cn.samzhao.cloud:3001/itv/bestzb/5000000004000014098
江苏卫视,http://113.26.166.143:8082/udp/239.1.1.35:8035
江苏卫视,http://61.240.38.242:8083/rtp/226.0.2.38:8216
江苏卫视,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000014861
浙江卫视,http://111.199.232.88:18888/rtp/239.3.1.137:8036
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://cn.samzhao.cloud:3001/itv/bestzb/5000000004000007275
江西卫视,http://61.240.38.242:8083/rtp/226.0.2.54:8344
江西卫视,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000006000268001
江西卫视,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000005000265032
山东卫视,http://124.230.56.208:55555/udp/239.76.246.195:1234
山东卫视,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000001000016568
山东卫视,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000004134
东南卫视,http://61.240.38.242:8083/rtp/226.0.2.188:9416
东南卫视,http://cn.samzhao.cloud:3001/itv/bestzb/5000000004000010584
东南卫视,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000005000265033
湖北卫视,http://60.220.163.57:8000/rtp/226.0.2.150:9112
湖北卫视,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000001000024621
湖北卫视,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000015436
湖南卫视,http://111.199.232.88:18888/rtp/239.3.1.132:8012
湖南卫视,http://211.72.65.236:8573/.m3u8
湖南卫视,http://113.220.233.241:9999/tsfile/live/0128_1.m3u8
深圳卫视,http://60.220.163.57:8000/rtp/226.0.2.147:9088
深圳卫视,http://58.220.219.14:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://cn.samzhao.cloud:3001/itv/bestzb/5000000004000007410
广东卫视,http://111.199.232.88:18888/rtp/239.3.1.142:8048
广东卫视,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000001000014176
广东卫视,http://cn.samzhao.cloud:3001/itv/wasusyt/6000000001000031076
广西卫视,http://124.230.56.208:55555/udp/239.76.254.54:9000
广西卫视,http://cn.samzhao.cloud:3001/itv/bestzb/5000000011000031118
广西卫视,http://202.103.213.239:8888/udp/239.81.0.107:4056
重庆卫视,http://123.121.93.25:8686/rtp/239.3.1.122:8160
重庆卫视,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000001000001096
重庆卫视,http://cn.samzhao.cloud:3001/itv/ystenlive/1000000005000265017
云南卫视,http://124.230.56.208:55555/udp/239.76.254.60:9000
云南卫视,http://cn.samzhao.cloud:3001/itv/bestzb/5000000011000031120
云南卫视,http://112.25.48.68/live/program/live/ynws/1300000/mnf.m3u8
星空卫视,http://183.237.246.14:9931/tsfile/live/1039_1.m3u8
星空卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.156:2193
星空卫视,http://171.108.239.6:8181/tsfile/live/1012_1.m3u8
大湾区卫视,http://223.10.5.47:8083/udp/239.1.1.69:8069
大湾区卫视,http://113.119.62.33:8090/udp/239.77.0.215:5146
大湾区卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/1.m3u8
珠江台,http://222.218.159.31:8181/tsfile/live/1000_1.m3u8
珠江台,http://113.15.184.8:8181/tsfile/live/1000_1.m3u8
珠江台,http://171.108.239.112:8181/tsfile/live/1001_1.m3u8
